2026-09-25 17:30:37,528 INFO  ExportHelperExtension.cs: 1402 - Fixing 249
2026-09-25 17:30:37,528 INFO  ExportHelperExtension.cs: 1402 - Fixing 250
2026-09-25 17:30:37,528 INFO  ExportHelperExtension.cs: 1402 - Fixing 251
2026-09-25 17:30:37,528 INFO  ExportHelperExtension.cs: 1402 - Fixing 252
2026-09-25 17:30:37,528 INFO  ExportHelperExtension.cs: 1402 - Fixing 253
2026-09-25 17:30:37,528 INFO  ExportHelperExtension.cs: 1402 - Fixing -1
2026-09-25 17:30:37,528 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2026-09-25 17:30:37,528 INFO  ExportHelperExtension.cs: 1402 - Fixing 171
2026-09-25 17:30:37,528 INFO  ExportHelperExtension.cs: 1402 - Fixing 182
2026-09-25 17:30:37,528 INFO  ExportHelperExtension.cs: 1402 - Fixing 183
2026-09-25 17:30:37,528 INFO  ExportHelperExtension.cs: 1402 - Fixing 184
2026-09-25 17:30:37,528 INFO  ExportHelperExtension.cs: 1402 - Fixing 185
2026-09-25 17:30:37,528 INFO  ExportHelperExtension.cs: 1402 - Fixing 189
2026-09-25 17:30:37,528 INFO  ExportHelperExtension.cs: 1402 - Fixing 190
2026-09-25 17:30:37,528 INFO  ExportHelperExtension.cs: 1402 - Fixing 191
2026-09-25 17:30:37,528 INFO  ExportHelperExtension.cs: 1402 - Fixing 192
2026-09-25 17:30:37,544 INFO  ExportHelperExtension.cs: 1402 - Fixing 193
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 832 - R1: 0, 0
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 849 - L1: 0
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 857 - L2: 0
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 181
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 30
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 238
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 239
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 240
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 241
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 242
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 243
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 225
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 247
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 248
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 249
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 250
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 251
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 252
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 253
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component -1
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 24
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 171
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 182
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 183
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 184
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 185
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 189
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 190
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 191
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 192
2026-09-25 17:30:43,011 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 193
2026-09-25 17:30:58,059 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent shoulder_link to child upper_arm_link failed
2026-09-25 17:31:02,751 INFO  ExportHelperExtension.cs: 347 - Creating joint elbow_link
2026-09-25 17:31:02,751 INFO  ExportHelperExtension.cs: 1397 - Fixing components for upper_arm_link
2026-09-25 17:31:02,751 INFO  ExportHelperExtension.cs: 1402 - Fixing 47
2026-09-25 17:31:02,751 INFO  ExportHelperExtension.cs: 1402 - Fixing 140
2026-09-25 17:31:02,751 INFO  ExportHelperExtension.cs: 1402 - Fixing 235
2026-09-25 17:31:02,751 INFO  ExportHelperExtension.cs: 1402 - Fixing 236
2026-09-25 17:31:02,751 INFO  ExportHelperExtension.cs: 1402 - Fixing 237
2026-09-25 17:31:02,751 INFO  ExportHelperExtension.cs: 1402 - Fixing 37
2026-09-25 17:31:02,751 INFO  ExportHelperExtension.cs: 1402 - Fixing 133
2026-09-25 17:31:02,751 INFO  ExportHelperExtension.cs: 1402 - Fixing 42
2026-09-25 17:31:02,751 INFO  ExportHelperExtension.cs: 1402 - Fixing 134
2026-09-25 17:31:02,751 INFO  ExportHelperExtension.cs: 1402 - Fixing 135
2026-09-25 17:31:02,751 INFO  ExportHelperExtension.cs: 1402 - Fixing 136
